"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J6";"TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal";1;"Screw_Terminal_01x06";;;
2;"REF**,REF**,REF**,REF**";"MountingHole_2.5mm_Pad_Via";4;"MountingHole_2.5mm_Pad_Via";;;
3;"BT2";"BatteryHolder_MPD_BH-18650-PC2";1;"Battery_Cell";;;
4;"J4";"PinHeader_1x09_P2.54mm_Vertical";1;"Conn_01x09_Female";;;
5;"J3";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Female";;;
6;"Y2";"Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm_HandSoldering";1;"32.768kHz";;;
7;"Y1";"Crystal_SMD_TXC_AX_8045-2Pin_8.0x4.5mm";1;"8Mhz";;;
8;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"PCF8523T";;;
9;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-AU";;;
10;"SW2";"SW_Slide_1P2T_CK_OS102011MS2Q";1;"PWR_SW";;;
11;"SW1";"SW_TH_Tactile_Omron_B3F-10xx";1;"RESET";;;
12;"R2";"LED_0805_2012Metric_Castellated";1;"10k";;;
13;"R1";"R_0805_2012Metric";1;"1k";;;
14;"J5";"PinHeader_2x03_P2.54mm_Vertical";1;"ISP";;;
15;"J2";"microSD_HC_Wuerth_693072010801";1;"Micro_SD_Card";;;
16;"J1";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"POWER_Terminal";;;
17;"C3";"C_0805_2012Metric";1;"3.3uF";;;
18;"C2,C1";"C_0805_2012Metric";2;"16pF";;;
19;"BT1";"BatteryHolder_Keystone_3000_1x12mm";1;"RTC_Battery";;;
