Item,Qty,Reference(s),Value,LibPart,Footprint,Part URL
1,1,BT1,RTC_Battery,Device:Battery_Cell,Battery:BatteryHolder_Keystone_3000_1x12mm,https://www.digikey.com/en/products/detail/keystone-electronics/3000/227440
2,1,BT2,Battery_Cell,Device:Battery_Cell,Battery:BatteryHolder_MPD_BH-18650-PC2,https://www.digikey.com/en/products/detail/mpd-memory-protection-devices/BK-18650-PC2/2079908
3,2,"C1, C2",16pF,Device:CP1_Small,Capacitor_SMD:C_0805_2012Metric,https://www.digikey.com/en/products/detail/kyocera-avx/08051A160JAT2A/1600914
4,1,C3,3.3uF,pspice:CAP,Capacitor_SMD:C_0805_2012Metric,https://www.digikey.com/en/products/detail/tdk-corporation/C2012JB1C335K125AC/3948680
5,1,J1,POWER_Terminal,Connector:Screw_Terminal_01x02,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",https://www.digikey.com/en/products/detail/phoenix-contact/1725656/267462
6,1,J2,Micro_SD_Card,Connector:Micro_SD_Card,Connector_Card:microSD_HC_Wuerth_693072010801,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/693072010801/3124584?s=N4IgTCBcDaIGwE4DMAGA7GFBGFAObIAugL5A
7,1,J3,Conn_01x06_Female,Connector:Conn_01x06_Female,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,Use pins ordered with J4
8,1,J4,Conn_01x09_Female,Connector:Conn_01x09_Female,Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61301611121/4846854?utm_adgroup=Rectangular%20Connectors%20-%20Headers%2C%20Male%20Pins&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_Product_Connectors%2C%20Interconnects&utm_term=&utm_content=Rectangular%20Connectors%20-%20Headers%2C%20Male%20Pins&gclid=CjwKCAjw8sCRBhA6EiwA6_IF4QIyq7tvweOHD4ZxKWrC-QYRubXGeTv1Tm1ChI4jTWYohvBzQXjItRoCXQ4QAvD_BwE
9,1,J5,ISP,Connector:AVR-ISP-6,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical,https://www.digikey.com/en/products/detail/amphenol-icc-(fci)/67996-206HLF/1878485?utm_adgroup=Connectors%20and%20Interconnects&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_Supplier_Amphenol%20FCI_0609_Co-op&utm_term=&utm_content=Connectors%20and%20Interconnects&gclid=CjwKCAjw8sCRBhA6EiwA6_IF4WdhNiqC6ib0S6sQPX_n5eIzo6fjm35xQ_nPJGR1p3m21aTR2Pd50hoCNB0QAvD_BwE
10,1,J6,Screw_Terminal_01x06,Connector:Screw_Terminal_01x06,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal",https://www.digikey.com/en/products/detail/phoenix-contact/1725698/267466
11,1,R1,1k,Device:R_US,Resistor_SMD:R_0805_2012Metric,https://www.digikey.com/en/products/detail/yageo/AC0805FR-101KL/14286726
12,1,R2,10k,Device:R_US,LED_SMD:LED_0805_2012Metric_Castellated,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCP0805FTD10K0/2240262
13,1,SW1,RESET,Switch:SW_Push_Dual_x2,Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx,https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/B3F-1020/44059?utm_adgroup=Switches&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_Supplier_Omron%20EMC_0039_Co-op&utm_term=&utm_content=Switches&gclid=Cj0KCQiAxoiQBhCRARIsAPsvo-xLaLRuc0nxEl4-8aP-8P-m5A10gvuCrbHmQW7Fmg3Fe4HuBPG-VAgaApeeEALw_wcB
14,1,SW2,PWR_SW,Switch:SW_SPDT,Button_Switch_THT:SW_Slide_1P2T_CK_OS102011MS2Q,https://www.digikey.com/en/products/detail/c-k/OS102011MS2QN1/411602
15,1,U1,ATmega328P-AU,MCU_Microchip_ATmega:ATmega328P-AU,Package_QFP:TQFP-32_7x7mm_P0.8mm,https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA328P-AU/1832260
16,1,U2,PCF8523T,Timer_RTC:PCF8523T,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.digikey.com/en/products/detail/nxp-usa-inc/PCF8523T-1-118/2530422
17,1,Y1,8Mhz,Device:Crystal,Crystal:Crystal_SMD_TXC_AX_8045-2Pin_8.0x4.5mm,https://www.digikey.com/en/products/detail/ndk-america-inc/NX8045GB-8-000M-STD-CSF-4/5022982
18,1,Y2,32.768kHz,Device:Crystal,Crystal:Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm_HandSoldering,https://www.digikey.com/en/products/detail/micro-crystal-ag/CC7V-T1A-32-768KHZ-12-5PF-20PPM-TA-QC/10499064
